Job Zone,Code,Occupation,Data-level,url,Median Wage,Projected Growth,Projected Job Openings
2,39-3092.00,Costume Attendants,Y,https://www.onetonline.org/link/summary/39-3092.00,"$26.35 hourly, $54,810 annual",Faster than average (5% to 6%),"1,800"
n/a,21-1019.00,"Counselors, All Other",,https://www.onetonline.org/link/summary/21-1019.00,"$23.96 hourly, $49,830 annual",Much faster than average (7% or higher),"7,400"
2,41-2021.00,Counter and Rental Clerks,Y,https://www.onetonline.org/link/summary/41-2021.00,"$18.53 hourly, $38,540 annual",Average (3% to 4%),"45,900"
2,43-5021.00,Couriers and Messengers,Y,https://www.onetonline.org/link/summary/43-5021.00,"$18.43 hourly, $38,340 annual",Much faster than average (7% or higher),"27,900"
3,27-3092.00,Court Reporters and Simultaneous Captioners,Y,https://www.onetonline.org/link/summary/27-3092.00,"$32.36 hourly, $67,310 annual",Little or no change,"1,700"
2,43-4031.00,"Court, Municipal, and License Clerks",Y,https://www.onetonline.org/link/summary/43-4031.00,"$22.93 hourly, $47,700 annual",Average (3% to 4%),"18,500"
3,27-1012.00,Craft Artists,Y,https://www.onetonline.org/link/summary/27-1012.00,"$18.50 hourly, $38,480 annual",Slower than average (1% to 2%),"1,000"
3,53-7021.00,Crane and Tower Operators,Y,https://www.onetonline.org/link/summary/53-7021.00,"$31.91 hourly, $66,370 annual",Average (3% to 4%),"3,800"
4,13-2041.00,Credit Analysts,Y,https://www.onetonline.org/link/summary/13-2041.00,"$38.93 hourly, $80,970 annual",Decline (-1% or lower),"3,700"
2,43-4041.00,"Credit Authorizers, Checkers, and Clerks",Y,https://www.onetonline.org/link/summary/43-4041.00,"$23.62 hourly, $49,130 annual",Decline (-1% or lower),"1,000"
4,13-2071.00,Credit Counselors,Y,https://www.onetonline.org/link/summary/13-2071.00,"$24.27 hourly, $50,480 annual",Average (3% to 4%),"2,200"
2,39-4012.00,Crematory Operators,Y,https://www.onetonline.org/link/summary/39-4012.00,"$20.62 hourly, $42,880 annual",Average (3% to 4%),600
5,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",Y,https://www.onetonline.org/link/summary/25-1111.00,"$71,470 annual",Slower than average (1% to 2%),"1,200"
4,29-1141.03,Critical Care Nurses,Y,https://www.onetonline.org/link/summary/29-1141.03,"$45.00 hourly, $93,600 annual",Faster than average (5% to 6%),"189,100"
2,33-9091.00,Crossing Guards and Flaggers,Y,https://www.onetonline.org/link/summary/33-9091.00,"$18.13 hourly, $37,700 annual",Average (3% to 4%),"18,000"
2,51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",Y,https://www.onetonline.org/link/summary/51-9021.00,"$22.54 hourly, $46,890 annual",Decline (-1% or lower),"2,700"
5,25-4012.00,Curators,Y,https://www.onetonline.org/link/summary/25-4012.00,"$29.70 hourly, $61,770 annual",Much faster than average (7% or higher),"1,800"
2,43-4051.00,Customer Service Representatives,Y,https://www.onetonline.org/link/summary/43-4051.00,"$20.59 hourly, $42,830 annual",Decline (-1% or lower),"341,700"
3,33-3051.04,Customs and Border Protection Officers,Y,https://www.onetonline.org/link/summary/33-3051.04,"$36.68 hourly, $76,290 annual",Average (3% to 4%),"53,700"
3,13-1041.08,Customs Brokers,Y,https://www.onetonline.org/link/summary/13-1041.08,"$37.70 hourly, $78,420 annual",Average (3% to 4%),"33,300"
1,51-9031.00,"Cutters and Trimmers, Hand",Y,https://www.onetonline.org/link/summary/51-9031.00,"$18.65 hourly, $38,800 annual",Decline (-1% or lower),600
2,51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders",Y,https://www.onetonline.org/link/summary/51-9032.00,"$21.97 hourly, $45,700 annual",Decline (-1% or lower),"5,300"
2,51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",Y,https://www.onetonline.org/link/summary/51-4031.00,"$21.92 hourly, $45,590 annual",Decline (-1% or lower),"14,400"
4,29-2011.01,Cytogenetic Technologists,Y,https://www.onetonline.org/link/summary/29-2011.01,"$29.75 hourly, $61,890 annual",Slower than average (1% to 2%),"22,600"
5,29-2011.02,Cytotechnologists,Y,https://www.onetonline.org/link/summary/29-2011.02,"$29.75 hourly, $61,890 annual",Slower than average (1% to 2%),"22,600"
3,27-2031.00,Dancers,Y,https://www.onetonline.org/link/summary/27-2031.00,$23.97 hourly,Faster than average (5% to 6%),"1,800"
2,43-9021.00,Data Entry Keyers,Y,https://www.onetonline.org/link/summary/43-9021.00,"$19.16 hourly, $39,850 annual",Decline (-1% or lower),"9,500"
