Soc Code,URL,Simple Title
43-4171.00,https://altpath.org/discover/n75tddc5khnwxwkbk3g5eaz1,Receptionist
53-7121.00,https://altpath.org/discover/kq8f9ifpi75xcm8pw83ube23,Materials Loader
13-1111.00,https://altpath.org/discover/ho1i2km8fn1fvo7ow6lmg43z,Management Analyst
47-5022.00,https://altpath.org/discover/np6wqdjb4f70rsi4o5myr3s7,Excavating Machine Operator
47-4051.00,https://altpath.org/discover/bxzrcmf4ecjtbvh4r0xh9c58,Highway Maintenance Worker
11-9033.00,https://altpath.org/discover/w7dq2j3aizj1spk9jk89zz2a,Postsecondary Education Administrator
53-3054.00,https://altpath.org/discover/e6d3xj5e2czes9rja89suw4f,Taxi Driver
19-2099.00,https://altpath.org/discover/yxsrxih9j9pxhjhq7lzirt4w,Physical Scientist
47-5081.00,https://altpath.org/discover/zq608kshv5eqx9k6qkdzexfh,Helper--Extraction Worker
41-9099.00,https://altpath.org/discover/xzydl0844y4g0qoq61fkmn4v,Sales Specialist
11-9071.00,https://altpath.org/discover/g6j7gw3tlifxf5lumcs9kpiz,Gambling Manager
43-5021.00,https://altpath.org/discover/mrgo8w81uwhwwxzx6zh8ir4s,Couriers and Messenger
53-3053.00,https://altpath.org/discover/wfdmbyr1fzilc31sc1sitb1b,Shuttle Driver
39-9032.00,https://altpath.org/discover/lq89wxx0639fe7qznto4is6r,Recreation Worker
39-5092.00,https://altpath.org/discover/evngtskf4jmdgkdwgr26f9zl,Manicurist
51-9111.00,https://altpath.org/discover/p2ek479ej8umdmvekvh8ycjx,Packaging Machine Operator
51-3092.00,https://altpath.org/discover/q0k84of791szjthkllfelq5q,Food Batchmaker
51-9061.00,https://altpath.org/discover/osjpw4o2557situk9gb6zdoy,Materials Inspector
53-7041.00,https://altpath.org/discover/l8ryf26mbdcthsbzle9kolxc,Hoist and Winch Operator
51-9023.00,https://altpath.org/discover/d8h4ks4ie51mz775j5me8cld,Mixing Machine Operator
33-9092.00,https://altpath.org/discover/zdh4uub7d0ruees2aptqr8dp,Recreational Protective Service Worker
35-3041.00,https://altpath.org/discover/neqh1bwe13l6p04r9iv8dnfk,Nonrestaurant Food Server
49-3091.00,https://altpath.org/discover/l3ivyvfx28tqz314o0usd1am,Bicycle Repairer
53-7061.00,https://altpath.org/discover/ipe76vhgyppb7sdc158mbtzc,Vehicle & Equipment Cleaner
